title_key,author_key,title,author,genre,first_year,last_year,appear_count,avg_rating,avg_reviews,max_reviews,avg_price,title_length,title_word_count,has_colon,has_number,duration,is_multi_year_bestseller,is_long_seller,has_reentry
heaven is for real a little boys astounding story of his trip to heaven and back,todd burpo,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,Non Fiction,2011,2012,2,4.7,15779.0,15779.0,10.0,82,16,1,0,2,1,0,0
hillbilly elegy a memoir of a family and culture in crisis,j d vance,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,Non Fiction,2016,2017,2,4.4,15526.0,15526.0,14.0,59,11,1,0,2,1,0,0
the real anthony fauci bill gates big pharma and the global war on democracy and public health childrens health defense,robert f kennedy jr,"The Real Anthony Fauci: Bill Gates, Big Pharma, and the Global War on Democracy and Public Health (Children’s Health Defense)",Robert F. Kennedy Jr.,Non Fiction,2021,2022,2,4.8,14575.0,14575.0,20.0,125,20,1,0,2,1,0,0
what should danny do the power to choose series,adir levy,What Should Danny Do? (The Power to Choose Series),Adir Levy,Fiction,2019,2020,2,4.8,14544.0,20918.0,13.5,50,9,0,0,2,1,0,0
proof of heaven a neurosurgeons journey into the afterlife,eben alexander,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,Non Fiction,2012,2013,2,4.3,13616.0,13616.0,10.0,60,9,1,0,2,1,0,0
the complete ketogenic diet for beginners your essential guide to living the keto lifestyle,amy ramos,The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,Non Fiction,2018,2019,2,4.3,13061.0,13061.0,6.0,92,14,1,0,2,1,0,0
the art of racing in the rain a novel,garth stein,The Art of Racing in the Rain: A Novel,Garth Stein,Fiction,2010,2011,2,4.7,11813.0,11813.0,10.0,38,9,1,0,2,1,0,0
thinking fast and slow,daniel kahneman,"Thinking, Fast and Slow",Daniel Kahneman,Non Fiction,2011,2012,2,4.6,11034.0,11034.0,19.0,23,4,0,0,2,1,0,0
p is for potty sesame street lifttheflap,naomi kleinberg,P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,Non Fiction,2018,2019,2,4.7,10820.0,10820.0,5.0,47,7,0,0,2,1,0,0
the girl with the dragon tattoo millennium series,stieg larsson,The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,Fiction,2009,2010,2,4.4,10559.0,10559.0,2.0,51,8,0,0,2,1,0,0
outliers the story of success,malcolm gladwell,Outliers: The Story of Success,Malcolm Gladwell,Non Fiction,2009,2010,2,4.6,10426.0,10426.0,20.0,30,5,1,0,2,1,0,0
between the world and me,tanehisi coates,Between the World and Me,Ta-Nehisi Coates,Non Fiction,2015,2016,2,4.7,10070.0,10070.0,13.0,24,5,0,0,2,1,0,0
quiet the power of introverts in a world that cant stop talking,susan cain,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,Non Fiction,2012,2013,2,4.6,10009.0,10009.0,13.5,65,12,1,0,2,1,0,0
the poutpout fish,deborah diesen,The Pout-Pout Fish,Deborah Diesen,Fiction,2017,2018,2,4.8,9784.0,9784.0,5.0,18,3,0,0,2,1,0,0
killing lincoln the shocking assassination that changed america forever bill oreillys killing series,bill oreilly,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,Non Fiction,2011,2012,2,4.7,9342.0,9342.0,10.0,105,13,1,0,2,1,0,0
the book with no pictures,b j novak,The Book with No Pictures,B. J. Novak,Fiction,2014,2015,2,4.8,8081.0,8081.0,8.0,25,5,0,0,2,1,0,0
steve jobs,walter isaacson,Steve Jobs,Walter Isaacson,Non Fiction,2011,2012,2,4.6,7827.0,7827.0,20.0,10,2,0,0,2,1,0,0
salt fat acid heat mastering the elements of good cooking,samin nosrat,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,Non Fiction,2018,2019,2,4.8,7802.0,7802.0,20.0,61,10,1,0,2,1,0,0
the girl who kicked the hornets nest millennium trilogy,stieg larsson,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,Fiction,2010,2011,2,4.7,7747.0,7747.0,14.0,58,9,0,0,2,1,0,0
atlas of the heart mapping meaningful connection and the language of human experience,bren brown,Atlas of the Heart: Mapping Meaningful Connection and the Language of Human Experience,Brené Brown,Non Fiction,2021,2022,2,4.8,7556.0,7556.0,18.0,86,13,1,0,2,1,0,0
wheat belly lose the wheat lose the weight and find your path back to health,william davis,"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,Non Fiction,2012,2013,2,4.4,7497.0,7497.0,6.0,79,15,1,0,2,1,0,0
instant pot pressure cooker cookbook 500 everyday recipes for beginners and advanced users try easy and healthy,jennifer smith,Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…,Jennifer Smith,Non Fiction,2018,2019,2,4.4,7396.0,7396.0,13.0,114,17,1,1,2,1,0,0
the instant pot electric pressure cooker cookbook easy recipes for fast healthy meals,laurel randolph,The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,Non Fiction,2017,2018,2,4.3,7368.0,7368.0,7.0,88,14,1,0,2,1,0,0
dog man brawl of the wild from the creator of captain underpants dog man 6,dav pilkey,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,Fiction,2018,2019,2,4.9,7235.0,7235.0,4.0,79,15,1,1,2,1,0,0
goodnight goodnight construction site hardcover books for toddlers preschool books for kids,sherri duskey rinker,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,Fiction,2012,2013,2,4.9,7038.0,7038.0,7.0,95,12,0,0,2,1,0,0
diagnostic and statistical manual of mental disorders 5th edition dsm5,american psychiatric association,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,Non Fiction,2013,2014,2,4.5,6679.0,6679.0,105.0,73,10,1,1,2,1,0,0
eat to live the amazing nutrientrich program for fast and sustained weight loss revised edition,joel fuhrman md,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,Non Fiction,2011,2012,2,4.5,6346.0,6346.0,9.0,98,15,1,0,2,1,0,0
the goingtobed book,sandra boynton,The Going-To-Bed Book,Sandra Boynton,Fiction,2016,2017,2,4.8,5249.0,5249.0,5.0,21,3,0,0,2,1,0,0
cutting for stone,abraham verghese,Cutting for Stone,Abraham Verghese,Fiction,2010,2011,2,4.6,4866.0,4866.0,11.0,17,3,0,0,2,1,0,0
the last olympian percy jackson and the olympians book 5,rick riordan,"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,Fiction,2009,2010,2,4.8,4628.0,4628.0,7.0,59,10,0,1,2,1,0,0
the lego ideas book unlock your imagination,daniel lipkowitz,The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,Non Fiction,2011,2012,2,4.4,4247.0,4247.0,13.0,44,7,1,0,2,1,0,0
humans of new york,brandon stanton,Humans of New York,Brandon Stanton,Non Fiction,2013,2014,2,4.8,3490.0,3490.0,15.0,18,4,0,0,2,1,0,0
three cups of tea one mans mission to promote peace one school at a time,greg mortenson,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,Non Fiction,2009,2010,2,4.3,3319.0,3319.0,11.0,76,16,1,0,2,1,0,0
one thousand gifts a dare to live fully right where you are,ann voskamp,One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,Non Fiction,2011,2012,2,4.6,3163.0,3163.0,13.0,60,12,1,0,2,1,0,0
radical taking back your faith from the american dream,david platt,Radical: Taking Back Your Faith from the American Dream,David Platt,Non Fiction,2010,2011,2,4.7,1985.0,1985.0,9.0,55,9,1,0,2,1,0,0
teach like a champion 49 techniques that put students on the path to college,doug lemov,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,Non Fiction,2010,2011,2,4.4,637.0,637.0,20.0,77,14,1,1,2,1,0,0
a promised land,barack obama,A Promised Land,Barack Obama,Non Fiction,2020,2020,1,4.9,121109.0,121109.0,16.0,15,3,0,0,1,0,0,0
too much and never enough how my family created the worlds most dangerous man,mary l trump phd,Too Much and Never Enough: How My Family Created the World's Most Dangerous Man,Mary L. Trump Ph.D.,Non Fiction,2020,2020,1,4.6,100534.0,100534.0,10.0,79,14,1,0,1,0,0,0
the four winds a novel,kristin hannah,The Four Winds: A Novel,Kristin Hannah,Fiction,2021,2021,1,4.5,96810.0,96810.0,14.0,23,5,1,0,1,0,0,0
the vanishing half a novel,brit bennett,The Vanishing Half: A Novel,Brit Bennett,Fiction,2020,2020,1,4.4,83490.0,83490.0,13.0,27,5,1,0,1,0,0,0
midnight sun,stephenie meyer,Midnight Sun,Stephenie Meyer,Fiction,2020,2020,1,4.8,79334.0,79334.0,14.0,12,2,0,0,1,0,0,0
verity,colleen hoover,Verity,Colleen Hoover,Fiction,2022,2022,1,4.6,71826.0,71826.0,11.0,6,1,0,0,1,0,0,0
american dirt oprahs book club a novel,jeanine cummins,American Dirt (Oprah's Book Club): A Novel,Jeanine Cummins,Fiction,2020,2020,1,4.6,66795.0,66795.0,14.0,42,7,1,0,1,0,0,0
1984,george orwell,1984,George Orwell,Fiction,2021,2021,1,4.7,60381.0,60381.0,7.0,4,1,0,1,1,0,0,0
reminders of him a novel,colleen hoover,Reminders of Him: A Novel,Colleen Hoover,Fiction,2022,2022,1,4.7,56049.0,56049.0,13.0,25,5,1,0,1,0,0,0
little fires everywhere a novel,celeste ng,Little Fires Everywhere: A Novel,Celeste Ng,Fiction,2020,2020,1,4.5,53363.0,53363.0,10.0,32,5,1,0,1,0,0,0
dune dune chronicles book 1,frank herbert,"Dune (Dune Chronicles, Book 1)",Frank Herbert,Fiction,2021,2021,1,4.7,52262.0,52262.0,12.0,30,5,0,1,1,0,0,0
the room where it happened a white house memoir,john bolton,The Room Where It Happened: A White House Memoir,John Bolton,Non Fiction,2020,2020,1,4.3,49087.0,49087.0,13.0,48,9,1,0,1,0,0,0
the ballad of songbirds and snakes a hunger games novel,suzanne collins,The Ballad of Songbirds and Snakes (A Hunger Games Novel),Suzanne Collins,Fiction,2020,2020,1,4.7,43745.0,43745.0,14.0,57,10,0,0,1,0,0,0
dog man grime and punishment a graphic novel dog man 9 from the creator of captain underpants 9,dav pilkey,Dog Man: Grime and Punishment: A Graphic Novel (Dog Man #9): From the Creator of Captain Underpants (9),Dav Pilkey,Fiction,2020,2020,1,4.9,41021.0,41021.0,6.0,103,18,1,1,1,0,0,0
my first library boxset of 10 board books for kids,wonder house books,My First Library : Boxset of 10 Board Books for Kids,Wonder House Books,Non Fiction,2021,2021,1,4.6,39852.0,39852.0,16.0,52,11,1,1,1,0,0,0
the martian,andy weir,The Martian,Andy Weir,Fiction,2015,2015,1,4.7,39459.0,39459.0,9.0,11,2,0,0,1,0,0,0
prayer journal for women 52 week scripture devotional guided prayer journal,shannon roberts,"Prayer Journal for Women: 52 Week Scripture, Devotional & Guided Prayer Journal",Shannon Roberts,Non Fiction,2020,2020,1,4.8,39234.0,39234.0,10.0,79,12,1,1,1,0,0,0
white fragility why its so hard for white people to talk about racism,dr robin diangelo,White Fragility: Why It's So Hard for White People to Talk About Racism,Dr. Robin DiAngelo,Non Fiction,2020,2020,1,4.5,38798.0,38798.0,8.0,71,13,1,0,1,0,0,0
the lincoln highway a novel,amor towles,The Lincoln Highway: A Novel,Amor Towles,Fiction,2022,2022,1,4.4,38675.0,38675.0,18.0,28,5,1,0,1,0,0,0
