title_key,author_key,year,title,author,amazon_rating,amazon_reviews,price,genre,title_length,title_word_count,has_colon,has_number,review_log,review_level,rating_level
good to great why some companies make the leap and others dont,jim collins,2009,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457.0,14.0,Non Fiction,64,12,1,0,8.148445666243235,low,normal
good to great why some companies make the leap and others dont,jim collins,2010,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457.0,14.0,Non Fiction,64,12,1,0,8.148445666243235,low,normal
good to great why some companies make the leap and others dont,jim collins,2011,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457.0,14.0,Non Fiction,64,12,1,0,8.148445666243235,low,normal
good to great why some companies make the leap and others dont,jim collins,2012,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457.0,14.0,Non Fiction,64,12,1,0,8.148445666243235,low,normal
goodnight goodnight construction site hardcover books for toddlers preschool books for kids,sherri duskey rinker,2012,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038.0,7.0,Fiction,95,12,0,0,8.85922139360813,middle,very_high
goodnight goodnight construction site hardcover books for toddlers preschool books for kids,sherri duskey rinker,2013,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038.0,7.0,Fiction,95,12,0,0,8.85922139360813,middle,very_high
goodnight moon,margaret wise brown,2017,Goodnight Moon,Margaret Wise Brown,4.8,8837.0,5.0,Fiction,14,2,0,0,9.086815885690685,middle,high
goodnight moon,margaret wise brown,2018,Goodnight Moon,Margaret Wise Brown,4.8,8837.0,5.0,Fiction,14,2,0,0,9.086815885690685,middle,high
goodnight moon,margaret wise brown,2019,Goodnight Moon,Margaret Wise Brown,4.8,8837.0,5.0,Fiction,14,2,0,0,9.086815885690685,middle,high
grain brain the surprising truth about wheat carbs and sugaryour brains silent killers,david perlmutter md,2014,"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,4.6,5972.0,10.0,Non Fiction,92,13,1,0,8.695004592732307,low,high
greenlights,matthew mcconaughey,2020,Greenlights,Matthew McConaughey,4.7,52217.0,16.0,Non Fiction,11,1,0,0,10.863182542017569,high,high
greenlights,matthew mcconaughey,2021,Greenlights,Matthew McConaughey,4.7,52217.0,16.0,Non Fiction,11,1,0,0,10.863182542017569,high,high
grey fifty shades of grey as told by christian fifty shades of grey series,e l james,2015,Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),E L James,4.4,25624.0,14.0,Fiction,77,14,1,0,10.151323716440709,high,normal
grumpy monkey,suzanne lang,2021,Grumpy Monkey,Suzanne Lang,4.8,20714.0,7.0,Fiction,13,2,0,0,9.938613354511503,high,high
guts,raina telgemeier,2019,Guts,Raina Telgemeier,4.8,5476.0,7.0,Non Fiction,4,1,0,0,8.608312784783722,low,high
hamilton the revolution,linmanuel miranda,2016,Hamilton: The Revolution,Lin-Manuel Miranda,4.9,5867.0,54.0,Non Fiction,24,3,1,0,8.677269139262872,low,very_high
happy happy happy my life and legacy as the duck commander,phil robertson,2013,"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,4.8,4148.0,11.0,Non Fiction,61,11,1,0,8.330622620332868,low,high
harry potter and the chamber of secrets the illustrated edition harry potter book 2,jk rowling,2016,"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",J.K. Rowling,4.9,19622.0,30.0,Fiction,87,14,1,1,9.884457626629322,high,very_high
harry potter and the cursed child parts 1 2 special rehearsal edition script,jk rowling,2016,"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,4.0,23973.0,12.0,Fiction,80,14,0,1,10.084725188767045,high,normal
harry potter and the goblet of fire the illustrated edition harry potter book 4 4,j k rowling,2019,"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",J. K. Rowling,4.9,7758.0,18.0,Fiction,87,15,1,1,8.95660873889395,middle,very_high
harry potter and the prisoner of azkaban the illustrated edition harry potter book 3,jk rowling,2017,"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",J.K. Rowling,4.9,3146.0,30.0,Fiction,88,14,1,1,8.054204897064407,low,very_high
harry potter and the sorcerers stone the illustrated edition harry potter book 1,jk rowling,2016,"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,4.9,10052.0,22.0,Fiction,85,13,1,1,9.215626376405421,middle,very_high
